Security,Symbol,GICS Sector,GICS Sub Industry,Headquarters Location,Founded
3M Company,MMM,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",1902
Abbott Laboratories,ABT,Health Care,Health Care Equipment,"North Chicago, Illinois",1888
AbbVie Inc.,ABBV,Health Care,Pharmaceuticals,"North Chicago, Illinois",2013 (1888)
ABIOMED Inc,ABMD,Health Care,Health Care Equipment,"Danvers, Massachusetts",1981
Accenture plc,ACN,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",1989
Activision Blizzard,ATVI,Communication Services,Interactive Home Entertainment,"Santa Monica, California",2008
Adobe Systems Inc,ADBE,Information Technology,Application Software,"San Jose, California",1982
Advanced Micro Devices Inc,AMD,Information Technology,Semiconductors,"Sunnyvale, California",1969
Advance Auto Parts,AAP,Consumer Discretionary,Automotive Retail,"Roanoke, Virginia",1932
AES Corp,AES,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1981
Affiliated Managers Group Inc,AMG,Financials,Asset Management & Custody Banks,"Beverly, Massachusetts",1993
AFLAC Inc,AFL,Financials,Life & Health Insurance,"Columbus, Georgia",1955
Agilent Technologies Inc,A,Health Care,Health Care Equipment,"Santa Clara, California",1999
Air Products & Chemicals Inc,APD,Materials,Industrial Gases,"Allentown, Pennsylvania",1940
Akamai Technologies Inc,AKAM,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",1998
Alaska Air Group Inc,ALK,Industrials,Airlines,"Seattle, Washington",1985
Albemarle Corp,ALB,Materials,Specialty Chemicals,"Baton Rouge, Louisiana",1994
Alexandria Real Estate Equities,ARE,Real Estate,Office REITs,"Pasadena, California",1994
Alexion Pharmaceuticals,ALXN,Health Care,Biotechnology,"Cheshire, Connecticut",1992
Align Technology,ALGN,Health Care,Health Care Supplies,"San Jose, California",1997
Allegion,ALLE,Industrials,Building Products,"Dublin, Ireland",1908
"Allergan, Plc",AGN,Health Care,Pharmaceuticals,"Dublin, Ireland",1983
Alliance Data Systems,ADS,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",1996
Alliant Energy Corp,LNT,Utilities,Electric Utilities,"Madison, Wisconsin",1917
Allstate Corp,ALL,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",1931
Alphabet Inc Class A,GOOGL,Communication Services,Interactive Media & Services,"Mountain View, California",1998
Alphabet Inc Class C,GOOG,Communication Services,Interactive Media & Services,"Mountain View, California",1998
Altria Group Inc,MO,Consumer Staples,Tobacco,"Richmond, Virginia",1985
Amazon.com Inc.,AMZN,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",1994
Ameren Corp,AEE,Utilities,Multi-Utilities,"St. Louis, Missouri",1902
American Airlines Group,AAL,Industrials,Airlines,"Fort Worth, Texas",1934
American Electric Power,AEP,Utilities,Electric Utilities,"Columbus, Ohio",1906
American Express Co,AXP,Financials,Consumer Finance,"New York, New York",1850
American International Group,AIG,Financials,Property & Casualty Insurance,"New York, New York",1919
American Tower Corp.,AMT,Real Estate,Specialized REITs,"Boston, Massachusetts",1995
American Water Works Company Inc,AWK,Utilities,Water Utilities,"Voorhees, New Jersey",1886
Ameriprise Financial,AMP,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",1894
AmerisourceBergen Corp,ABC,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",1985
AMETEK Inc.,AME,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",1930
Amgen Inc.,AMGN,Health Care,Biotechnology,"Thousand Oaks, California",1980
Amphenol Corp,APH,Information Technology,Electronic Components,"Wallingford, Connecticut",1932
Anadarko Petroleum Corp,APC,Energy,Oil & Gas Exploration & Production,"The Woodlands, Texas",1959
"Analog Devices, Inc.",ADI,Information Technology,Semiconductors,"Norwood, Massachusetts",1965
ANSYS,ANSS,Information Technology,Application Software,"Canonsburg, Pennsylvania",1969
Anthem Inc.,ANTM,Health Care,Managed Health Care,"Indianapolis, Indiana",2014 (1940s)
Aon plc,AON,Financials,Insurance Brokers,"London, United Kingdom",1982 (1919)
A.O. Smith Corp,AOS,Industrials,Building Products,"Milwaukee, Wisconsin",1916
Apache Corporation,APA,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1954
Apartment Investment & Management ,AIV,Real Estate,Residential REITs,"Denver, Colorado",1994 (1975)
Apple Inc.,AAPL,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977
Applied Materials Inc.,AMAT,Information Technology,Semiconductor Equipment,"Santa Clara, California",1967
Aptiv Plc,APTV,Consumer Discretionary,Auto Parts & Equipment,"Gillingham, Kent, United Kingdom",1994
Archer-Daniels-Midland Co,ADM,Consumer Staples,Agricultural Products,"Decatur, Illinois",1902
Arconic Inc.,ARNC,Industrials,Aerospace & Defense,"New York, New York",2016
Arista Networks,ANET,Information Technology,Communications Equipment,"Santa Clara, California",2004
Arthur J. Gallagher & Co.,AJG,Financials,Insurance Brokers,"Itasca, Illinois",
Assurant,AIZ,Financials,Multi-line Insurance,"New York, New York",
Atmos Energy Corp,ATO,Utilities,Gas Utilities,"Dallas, Texas",1906
AT&T Inc.,T,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983
Autodesk Inc.,ADSK,Information Technology,Application Software,"San Rafael, California",
Automatic Data Processing,ADP,Information Technology,Internet Software & Services,"Roseland, New Jersey",
AutoZone Inc,AZO,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",
"AvalonBay Communities, Inc.",AVB,Real Estate,Residential REITs,"Arlington, Virginia[3]",
Avery Dennison Corp,AVY,Materials,Paper Packaging,"Glendale, California",
"Baker Hughes, a GE Company",BHGE,Energy,Oil & Gas Equipment & Services,"Houston, Texas",2017
Ball Corp,BLL,Materials,Metal & Glass Containers,"Broomfield, Colorado",
Bank of America Corp,BAC,Financials,Diversified Banks,"Charlotte, North Carolina",
The Bank of New York Mellon Corp.,BK,Financials,Asset Management & Custody Banks,"New York, New York",
Baxter International Inc.,BAX,Health Care,Health Care Equipment,"Deerfield, Illinois",1931
BB&T Corporation,BBT,Financials,Regional Banks,"Winston-Salem, North Carolina",
Becton Dickinson,BDX,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",1897
Berkshire Hathaway,BRK.B,Financials,Multi-Sector Holdings,"Omaha, Nebraska",
Best Buy Co. Inc.,BBY,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",
Biogen Inc.,BIIB,Health Care,Biotechnology,"Weston, Massachusetts",
BlackRock,BLK,Financials,Asset Management & Custody Banks,"New York, New York",
Block H&R,HRB,Consumer Discretionary,Specialized Consumer Services,"Kansas City, Missouri",
Boeing Company,BA,Industrials,Aerospace & Defense,"Chicago, Illinois",1916
Booking Holdings Inc,BKNG,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",
BorgWarner,BWA,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",
Boston Properties,BXP,Real Estate,Office REITs,"Boston, Massachusetts",
Boston Scientific,BSX,Health Care,Health Care Equipment,"Marlborough, Massachusetts[4]",
Brighthouse Financial Inc,BHF,Financials,Life & Health Insurance,"Charlotte, North Carolina",
Bristol-Myers Squibb,BMY,Health Care,Health Care Distributors,"New York, New York",1989
Broadcom,AVGO,Information Technology,Semiconductors,"San Jose, California",
Broadridge Financial Solutions,BR,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",1962
Brown-Forman Corp.,BF.B,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",
C. H. Robinson Worldwide,CHRW,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",
Cabot Oil & Gas,COG,Energy,Oil & Gas Exploration & Production,"Houston, Texas",
Cadence Design Systems,CDNS,Information Technology,Application Software,"San Jose, California",
Campbell Soup,CPB,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",1869
Capital One Financial,COF,Financials,Consumer Finance,"Tysons Corner, Virginia",1935
Capri Holdings,CPRI,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",
Cardinal Health Inc.,CAH,Health Care,Health Care Distributors,"Dublin, Ohio",
Carmax Inc,KMX,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",
Carnival Corp.,CCL,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",
Caterpillar Inc.,CAT,Industrials,Construction Machinery & Heavy Trucks,"Peoria, Illinois",1925
Cboe Global Markets,CBOE,Financials,Financial Exchanges & Data,"Chicago, Illinois",
CBRE Group,CBRE,Real Estate,Real Estate Services,"Los Angeles, California",
CBS Corp.,CBS,Communication Services,Broadcasting,"New York, New York",2006
Celanese Corp.,CE,Materials,Specialty Chemicals,"Irving, Texas",
Celgene Corp.,CELG,Health Care,Biotechnology,"Summit, New Jersey",
Centene Corporation,CNC,Health Care,Managed Health Care,"St Louis, Missouri",
CenterPoint Energy,CNP,Utilities,Multi-Utilities,"Houston, Texas",
CenturyLink Inc,CTL,Communication Services,Integrated Telecommunication Services,"Monroe, Louisiana",
Cerner,CERN,Health Care,Health Care Technology,"North Kansas City, Missouri",
CF Industries Holdings Inc,CF,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",
Charles Schwab Corporation,SCHW,Financials,Investment Banking & Brokerage,"San Francisco, California",
Charter Communications,CHTR,Communication Services,Cable & Satellite,"Stamford, Connecticut",
Chevron Corp.,CVX,Energy,Integrated Oil & Gas,"San Ramon, California",1879
Chipotle Mexican Grill,CMG,Consumer Discretionary,Restaurants,"Denver, Colorado",
Chubb Limited,CB,Financials,Property & Casualty Insurance,"Zurich, Switzerland",
Church & Dwight,CHD,Consumer Staples,Household Products,"Ewing, New Jersey",
CIGNA Corp.,CI,Health Care,Managed Health Care,"Bloomfield, Connecticut",
Cimarex Energy,XEC,Energy,Oil & Gas Exploration & Production,"Denver, Colorado",
Cincinnati Financial,CINF,Financials,Property & Casualty Insurance,"Fairfield, Ohio",
Cintas Corporation,CTAS,Industrials,Diversified Support Services,"Mason, Ohio",
Cisco Systems,CSCO,Information Technology,Communications Equipment,"San Jose, California",
Citigroup Inc.,C,Financials,Diversified Banks,"New York, New York",
Citizens Financial Group,CFG,Financials,Regional Banks,"Providence, Rhode Island",
Citrix Systems,CTXS,Information Technology,Internet Software & Services,"Fort Lauderdale, Florida",
The Clorox Company,CLX,Consumer Staples,Household Products,"Oakland, California",1913
CME Group Inc.,CME,Financials,Financial Exchanges & Data,"Chicago, Illinois",
CMS Energy,CMS,Utilities,Multi-Utilities,"Jackson, Michigan",
Coca-Cola Company,KO,Consumer Staples,Soft Drinks,"Atlanta, Georgia",1886
Cognizant Technology Solutions,CTSH,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",
Colgate-Palmolive,CL,Consumer Staples,Household Products,"New York, New York",1806
Comcast Corp.,CMCSA,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",
Comerica Inc.,CMA,Financials,Diversified Banks,"Dallas, Texas",
Conagra Brands,CAG,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",
Concho Resources,CXO,Energy,Oil & Gas Exploration & Production,"Midland, Texas",
ConocoPhillips,COP,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2002
Consolidated Edison,ED,Utilities,Electric Utilities,"New York, New York",1823
Constellation Brands,STZ,Consumer Staples,Distillers & Vintners,"Victor, New York",
The Cooper Companies,COO,Health Care,Health Care Supplies,"Pleasanton, California",
Copart Inc,CPRT,Industrials,Diversified Support Services,"Dallas, Texas",
Corning Inc.,GLW,Information Technology,Electronic Components,"Corning, New York",1851
Costco Wholesale Corp.,COST,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",
"Coty, Inc",COTY,Consumer Staples,Personal Products,"New York, New York",
Crown Castle International Corp.,CCI,Real Estate,Specialized REITs,"Houston, Texas",
CSX Corp.,CSX,Industrials,Railroads,"Jacksonville, Florida",1980
Cummins Inc.,CMI,Industrials,Industrial Machinery,"Columbus, Indiana",1919
CVS Health,CVS,Health Care,Health Care Services,"Woonsocket, Rhode Island",1996
D. R. Horton,DHI,Consumer Discretionary,Homebuilding,"Fort Worth, Texas",1978
Danaher Corp.,DHR,Health Care,Health Care Equipment,"Washington, D.C.",1969
Darden Restaurants,DRI,Consumer Discretionary,Restaurants,"Orlando, Florida",1938
DaVita Inc.,DVA,Health Care,Health Care Facilities,"Denver, Colorado",
Deere & Co.,DE,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",1837
Delta Air Lines Inc.,DAL,Industrials,Airlines,"Atlanta, Georgia",
Dentsply Sirona,XRAY,Health Care,Health Care Supplies,"York, Pennsylvania",
Devon Energy,DVN,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",
Diamondback Energy,FANG,Energy,Oil & Gas Exploration & Production,"Midland, Texas",2007
Digital Realty Trust Inc,DLR,Real Estate,Specialized REITs,"San Francisco, California",
Discover Financial Services,DFS,Financials,Consumer Finance,"Riverwoods, Illinois",
Discovery Inc. Class A,DISCA,Communication Services,Broadcasting,"Silver Spring, Maryland",
Discovery Inc. Class C,DISCK,Communication Services,Broadcasting,"Silver Spring, Maryland",
Dish Network,DISH,Communication Services,Cable & Satellite,"Meridian, Colorado",
Dollar General,DG,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",
Dollar Tree,DLTR,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",
Dominion Energy,D,Utilities,Electric Utilities,"Richmond, Virginia",1983
Dover Corp.,DOV,Industrials,Industrial Machinery,"Downers Grove, Illinois",
DowDuPont,DWDP,Materials,Diversified Chemicals,"Midland, Michigan",2017
DTE Energy Co.,DTE,Utilities,Multi-Utilities,"Detroit, Michigan",1995
Duke Realty Corp,DRE,Real Estate,Industrial REITs,"Indianapolis, Indiana",
Duke Energy,DUK,Utilities,Electric Utilities,"Charlotte, North Carolina",
DXC Technology,DXC,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",
E*Trade,ETFC,Financials,Investment Banking & Brokerage,"New York, New York",
Eastman Chemical,EMN,Materials,Diversified Chemicals,"Kingsport, Tennessee",
Eaton Corporation,ETN,Industrials,Electrical Components & Equipment,"Dublin, Ireland",1911
eBay Inc.,EBAY,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California",1995
Ecolab Inc.,ECL,Materials,Specialty Chemicals,"St. Paul, Minnesota",
Edison Int'l,EIX,Utilities,Electric Utilities,"Rosemead, California",1886
Edwards Lifesciences,EW,Health Care,Health Care Equipment,"Irvine, California",
Electronic Arts,EA,Communication Services,Interactive Home Entertainment,"Redwood City, California",
Emerson Electric Company,EMR,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",1890
Entergy Corp.,ETR,Utilities,Electric Utilities,"New Orleans, Louisiana",1913
EOG Resources,EOG,Energy,Oil & Gas Exploration & Production,"Houston, Texas",
Equifax Inc.,EFX,Industrials,Research & Consulting Services,"Atlanta, Georgia",
Equinix,EQIX,Real Estate,Specialized REITs,"Redwood City, California",
Equity Residential,EQR,Real Estate,Residential REITs,"Chicago, Illinois",
"Essex Property Trust, Inc.",ESS,Real Estate,Residential REITs,"Palo Alto, California",
Estee Lauder Cos.,EL,Consumer Staples,Personal Products,"New York, New York",
Evergy,EVRG,Utilities,Electric Utilities,"Kansas City, Missouri",1909
Eversource Energy,ES,Utilities,Multi-Utilities,"Springfield, Massachusetts",1966
Everest Re Group Ltd.,RE,Financials,Reinsurance,"Hamilton, Bermuda",
Exelon Corp.,EXC,Utilities,Multi-Utilities,"Chicago, Illinois",2000
Expedia Group,EXPE,Consumer Discretionary,Internet & Direct Marketing Retail,"Bellevue, Washington",
Expeditors,EXPD,Industrials,Air Freight & Logistics,"Seattle, Washington",
Extra Space Storage,EXR,Real Estate,Specialized REITs,"Salt Lake City, Utah",
Exxon Mobil Corp.,XOM,Energy,Integrated Oil & Gas,"Irving, Texas",1999
F5 Networks,FFIV,Information Technology,Communications Equipment,"Seattle, Washington",1996
"Facebook, Inc.",FB,Communication Services,Interactive Media & Services,"Menlo Park, California",
Fastenal Co,FAST,Industrials,Building Products,"Winona, Minnesota",
Federal Realty Investment Trust,FRT,Real Estate,Retail REITs,"Rockville, Maryland",
FedEx Corporation,FDX,Industrials,Air Freight & Logistics,"Memphis, Tennessee",
Fidelity National Information Services,FIS,Information Technology,Internet Software & Services,"Jacksonville, Florida",
Fifth Third Bancorp,FITB,Financials,Regional Banks,"Cincinnati, Ohio",1858
FirstEnergy Corp,FE,Utilities,Electric Utilities,"Akron, Ohio",1997
First Republic Bank,FRC,Financials,Regional Banks,"San Francisco, California",1985
Fiserv Inc,FISV,Information Technology,Internet Software & Services,"Brookfield, Wisconsin",
FleetCor Technologies Inc,FLT,Information Technology,Data Processing & Outsources Services,"Norcross, Georgia",2000
FLIR Systems,FLIR,Information Technology,Electronic Equipment & Instruments,"Wilsonville, Oregon",
Flowserve Corporation,FLS,Industrials,Industrial Machinery,"Irving, Texas",
Fluor Corp.,FLR,Industrials,Construction & Engineering,"Irving, Texas",
FMC Corporation,FMC,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",
Foot Locker Inc,FL,Consumer Discretionary,Apparel Retail,"New York, New York",
Ford Motor,F,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",1903
Fortinet,FTNT,Information Technology,Systems Software,"Sunnyvale, California",2000
Fortive Corp,FTV,Industrials,Industrial Machinery,"Everett, Washington",
Fortune Brands Home & Security,FBHS,Industrials,Building Products,"Deerfield, Illinois",
Franklin Resources,BEN,Financials,Asset Management & Custody Banks,"San Mateo, California",1947
Freeport-McMoRan Inc.,FCX,Materials,Copper,"Phoenix, Arizona",1912
Gap Inc.,GPS,Consumer Discretionary,Apparel Retail,"San Francisco, California",
Garmin Ltd.,GRMN,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",
Gartner Inc,IT,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",
General Dynamics,GD,Industrials,Aerospace & Defense,"Falls Church, Virginia",1899
General Electric,GE,Industrials,Industrial Conglomerates,"Boston, Massachusetts",1892
General Mills,GIS,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",1856
General Motors,GM,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",
Genuine Parts,GPC,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",1925
Gilead Sciences,GILD,Health Care,Biotechnology,"Foster City, California",
Global Payments Inc.,GPN,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",
Goldman Sachs Group,GS,Financials,Investment Banking & Brokerage,"New York, New York",
Grainger (W.W.) Inc.,GWW,Industrials,Industrial Machinery,"Lake Forest, Illinois",
Halliburton Co.,HAL,Energy,Oil & Gas Equipment & Services,"Houston, Texas",1919
Hanesbrands Inc,HBI,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Winston-Salem, North Carolina",
Harley-Davidson,HOG,Consumer Discretionary,Motorcycle Manufacturers,"Milwaukee, Wisconsin",1903
Harris Corporation,HRS,Industrials,Aerospace & Defense,"Melbourne, Florida",
Hartford Financial Svc.Gp.,HIG,Financials,Property & Casualty Insurance,"Hartford, Connecticut",
Hasbro Inc.,HAS,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",
HCA Holdings,HCA,Health Care,Health Care Facilities,"Nashville, Tennessee",
HCP Inc.,HCP,Real Estate,Health Care REITs,"Long Beach, California",
Helmerich & Payne,HP,Energy,Oil & Gas Drilling,"Tulsa, Oklahoma[5]",
Henry Schein,HSIC,Health Care,Health Care Distributors,"Melville, New York",
The Hershey Company,HSY,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",1894
Hess Corporation,HES,Energy,Integrated Oil & Gas,"New York, New York",
Hewlett Packard Enterprise,HPE,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",
Hilton Worldwide Holdings Inc,HLT,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",
HollyFrontier Corp,HFC,Energy,Oil & Gas Refining & Marketing,"Dallas, Texas",
Hologic,HOLX,Health Care,Health Care Equipment,"Marlborough, Massachusetts",
Home Depot,HD,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",
Honeywell Int'l Inc.,HON,Industrials,Industrial Conglomerates,"Morristown, New Jersey",1906
Hormel Foods Corp.,HRL,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",
Host Hotels & Resorts,HST,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",
HP Inc.,HPQ,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",1939 (2015)
Humana Inc.,HUM,Health Care,Managed Health Care,"Louisville, Kentucky",1961
Huntington Bancshares,HBAN,Financials,Regional Banks,"Columbus, Ohio",1866
Huntington Ingalls Industries,HII,Industrials,Aerospace & Defense,"Newport News, Virginia",
IDEXX Laboratories,IDXX,Health Care,Health Care Equipment,"Westbrook, Maine",
IHS Markit Ltd.,INFO,Industrials,Research & Consulting Services,"London, United Kingdom",
