Security,Symbol,GICS Sector,GICS Sub Industry,Headquarters Location,Founded
Illinois Tool Works,ITW,Industrials,Industrial Machinery,"Glenview, Illinois",
Illumina Inc,ILMN,Health Care,Life Sciences Tools & Services,"San Diego, California",
Ingersoll-Rand PLC,IR,Industrials,Industrial Machinery,"Dublin, Ireland",
Intel Corp.,INTC,Information Technology,Semiconductors,"Santa Clara, California",
Intercontinental Exchange,ICE,Financials,Financial Exchanges & Data,"Atlanta, Georgia",
International Business Machines,IBM,Information Technology,IT Consulting & Other Services,"Armonk, New York",1911
Incyte,INCY,Health Care,Biotechnology,"Wilmington, Delaware",
International Paper,IP,Materials,Paper Packaging,"Memphis, Tennessee",1898
Interpublic Group,IPG,Communication Services,Advertising,"New York, New York",
Intl Flavors & Fragrances,IFF,Materials,Specialty Chemicals,"New York, New York",
Intuit Inc. ,INTU,Information Technology,Internet Software & Services,"Mountain View, California",
Intuitive Surgical Inc.,ISRG,Health Care,Health Care Equipment,"Sunnyvale, California",
Invesco Ltd.,IVZ,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",
IPG Photonics Corp.,IPGP,Information Technology,Electronic Manufacturing Services,"Oxford, Massachusetts",
IQVIA Holdings Inc.,IQV,Health Care,Life Sciences Tools & Service,"Durham, North Carolina",
Iron Mountain Incorporated,IRM,Real Estate,Specialized REITs,"Boston, Massachusetts",
Jack Henry & Associates Inc,JKHY,Information Technology,Data Processing & Outsourced Services,"Monett, Missouri",
Jacobs Engineering Group,JEC,Industrials,Construction & Engineering,"Pasadena, California",
J. B. Hunt Transport Services,JBHT,Industrials,Trucking,"Lowell, Arkansas",
Jefferies Financial Group,JEF,Financials,Multi-Sector Holdings,"New York, New York",
JM Smucker,SJM,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",
Johnson & Johnson,JNJ,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",1886
Johnson Controls International,JCI,Industrials,Building Products,"Cork, Ireland",
JPMorgan Chase & Co.,JPM,Financials,Diversified Banks,"New York, New York",
Juniper Networks,JNPR,Information Technology,Communications Equipment,"Sunnyvale, California",1996
Kansas City Southern,KSU,Industrials,Railroads,"Kansas City, Missouri",
Kellogg Co.,K,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",1906
KeyCorp,KEY,Financials,Regional Banks,"Cleveland, Ohio",
Keysight Technologies,KEYS,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",2014
Kimberly-Clark,KMB,Consumer Staples,Household Products,"Irving, Texas",1872
Kimco Realty,KIM,Real Estate,Retail REITs,"New Hyde Park, New York",
Kinder Morgan,KMI,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",
KLA-Tencor Corp.,KLAC,Information Technology,Semiconductor Equipment,"Milpitas, California",1975/1977 (1997)
Kohl's Corp.,KSS,Consumer Discretionary,General Merchandise Stores,"Menomonee Falls, Wisconsin",1962
Kraft Heinz Co,KHC,Consumer Staples,Packaged Foods & Meats,"Pittsburgh, Pennsylvania",
Kroger Co.,KR,Consumer Staples,Food Retail,"Cincinnati, Ohio",1883
L Brands Inc.,LB,Consumer Discretionary,Apparel Retail,"Columbus, Ohio",
L-3 Communications Holdings,LLL,Industrials,Aerospace & Defense,"New York, New York",1997
Laboratory Corp. of America Holding,LH,Health Care,Health Care Services,"Burlington, North Carolina",
Lam Research,LRCX,Information Technology,Semiconductor Equipment,"Fremont, California",
Lamb Weston Holdings Inc,LW,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",
Leggett & Platt,LEG,Consumer Discretionary,Home Furnishings,"Carthage, Missouri",1883
Lennar Corp.,LEN,Consumer Discretionary,Homebuilding,"Miami, Florida",
Lilly (Eli) & Co.,LLY,Health Care,Pharmaceuticals,"Indianapolis, Indiana",1876
Lincoln National,LNC,Financials,Multi-line Insurance,"Radnor, Pennsylvania",
Linde plc,LIN,Materials,Industrial Gases,"Guildford, Surrey, United Kingdom",
LKQ Corporation,LKQ,Consumer Discretionary,Distributors,"Chicago, Illinois",
Lockheed Martin Corp.,LMT,Industrials,Aerospace & Defense,"Bethesda, Maryland",
Loews Corp.,L,Financials,Multi-line Insurance,"New York, New York",
Lowe's Cos.,LOW,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",1904/1946/1959
LyondellBasell,LYB,Materials,Specialty Chemicals,"Rotterdam, Netherlands",
M&T Bank Corp.,MTB,Financials,Regional Banks,"Buffalo, New York",1856
Macerich,MAC,Real Estate,Retail REITs,"Santa Monica, California",
Macy's Inc.,M,Consumer Discretionary,Department Stores,"Cincinnati, Ohio",1929
Marathon Oil Corp.,MRO,Energy,Oil & Gas Exploration & Production,"Houston, Texas",
Marathon Petroleum,MPC,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",
Marriott Int'l.,MAR,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",1927
Marsh & McLennan,MMC,Financials,Insurance Brokers,"New York, New York",
Martin Marietta Materials,MLM,Materials,Construction Materials,"Raleigh, North Carolina",
Masco Corp.,MAS,Industrials,Building Products,"Taylor, Michigan",
Mastercard Inc.,MA,Financials,Credit Card Services,"Harrison, New York",
Mattel Inc.,MAT,Consumer Discretionary,Leisure Products,"El Segundo, California",
McCormick & Co.,MKC,Consumer Staples,Packaged Foods & Meats,"Sparks, Maryland",1889
Maxim Integrated Products Inc,MXIM,Information Technology,Semiconductors,"San Jose, California",1983
McDonald's Corp.,MCD,Consumer Discretionary,Restaurants,"Chicago, Illinois",1940
McKesson Corp.,MCK,Health Care,Health Care Distributors,"San Francisco, California",1833
Medtronic plc,MDT,Health Care,Health Care Equipment,"Dublin, Ireland",
Merck & Co.,MRK,Health Care,Pharmaceuticals,"Whitehouse Station, New Jersey",1891
MetLife Inc.,MET,Financials,Life & Health Insurance,"New York, New York",1868
Mettler Toledo,MTD,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",
MGM Resorts International,MGM,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",
Microchip Technology,MCHP,Information Technology,Semiconductors,"Chandler, Arizona",
Micron Technology,MU,Information Technology,Semiconductors,"Boise, Idaho",
Microsoft Corp.,MSFT,Information Technology,Systems Software,"Redmond, Washington",1975
Mid-America Apartments,MAA,Real Estate,Residential REITs,"Memphis, Tennessee",
Mohawk Industries,MHK,Consumer Discretionary,Home Furnishings,"Amsterdam, New York",
Molson Coors Brewing Company,TAP,Consumer Staples,Brewers,"Denver, Colorado",
Mondelez International,MDLZ,Consumer Staples,Packaged Foods & Meats,"Deerfield, Illinois",
Monster Beverage,MNST,Consumer Staples,Soft Drinks,"Corona, California",
Moody's Corp,MCO,Financials,Financial Exchanges & Data,"New York, New York",1909
Morgan Stanley,MS,Financials,Investment Banking & Brokerage,"New York, New York",1935
The Mosaic Company,MOS,Materials,Fertilizers & Agricultural Chemicals,"Plymouth, Minnesota",
Motorola Solutions Inc.,MSI,Information Technology,Communications Equipment,"Schaumburg, Illinois",1928 (2011)
MSCI Inc,MSCI,Financials,Financial Exchanges & Data,"New York, New York",
Mylan N.V.,MYL,Health Care,Pharmaceuticals,"Amsterdam, Netherlands",
"Nasdaq, Inc.",NDAQ,Financials,Financial Exchanges & Data,"New York, New York",
National Oilwell Varco Inc.,NOV,Energy,Oil & Gas Equipment & Services,"Houston, Texas",
Nektar Therapeutics,NKTR,Health Care,Pharmaceuticals,"San Francisco, California",
NetApp,NTAP,Information Technology,Internet Software & Services,"Sunnyvale, California",
Netflix Inc.,NFLX,Communication Services,Movies & Entertainment,"Los Gatos, California",1997
Newell Brands,NWL,Consumer Discretionary,Housewares & Specialties,"Sandy Springs, Georgia",
Newmont Mining Corporation,NEM,Materials,Gold,"Denver, Colorado",1921
News Corp. Class A,NWSA,Communication Services,Publishing,"New York, New York",
News Corp. Class B,NWS,Communication Services,Publishing,"New York, New York",
NextEra Energy,NEE,Utilities,Multi-Utilities,"Juno Beach, Florida",
Nielsen Holdings,NLSN,Industrials,Research & Consulting Services,"New York, New York",
Nike,NKE,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",
NiSource Inc.,NI,Utilities,Multi-Utilities,"Merrillville, Indiana",1912
Noble Energy Inc,NBL,Energy,Oil & Gas Exploration & Production,"Houston, Texas",
Nordstrom,JWN,Consumer Discretionary,Department Stores,"Seattle, Washington",
Norfolk Southern Corp.,NSC,Industrials,Railroads,"Norfolk, Virginia",1881/1894 (1980)
Northern Trust Corp.,NTRS,Financials,Asset Management & Custody Banks,"Chicago, Illinois",1889
Northrop Grumman Corp.,NOC,Industrials,Aerospace & Defense,"West Falls Church, Virginia",
Norwegian Cruise Line,NCLH,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",
NRG Energy,NRG,Utilities,Independent Power Producers & Energy Traders,"Princeton, New Jersey",
Nucor Corp.,NUE,Materials,Steel,"Charlotte, North Carolina",
Nvidia Corporation,NVDA,Information Technology,Semiconductors,"Santa Clara, California",
O'Reilly Automotive,ORLY,Consumer Discretionary,Specialty Stores,"Springfield, Missouri",
Occidental Petroleum,OXY,Energy,Oil & Gas Exploration & Production,"Los Angeles, California",
Omnicom Group,OMC,Communication Services,Advertising,"New York, New York",1986
ONEOK,OKE,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",
Oracle Corp.,ORCL,Information Technology,Application Software,"Redwood Shores, California",
PACCAR Inc.,PCAR,Industrials,Construction Machinery & Heavy Trucks,"Bellevue, Washington",
Packaging Corporation of America,PKG,Materials,Paper Packaging,"Lake Forest, Illinois",
Parker-Hannifin,PH,Industrials,Industrial Machinery,"Cleveland, Ohio",
Paychex Inc.,PAYX,Information Technology,Internet Software & Services,"Penfield, New York",1971
PayPal,PYPL,Information Technology,Data Processing & Outsourced Services,"San Jose, California",
Pentair plc,PNR,Industrials,Industrial Machinery,"Worsley, UK",
People's United Financial,PBCT,Financials,Thrifts & Mortgage Finance,"Bridgeport, Connecticut",
PepsiCo Inc.,PEP,Consumer Staples,Soft Drinks,"Purchase, New York",1898
PerkinElmer,PKI,Health Care,Health Care Equipment,"Waltham, Massachusetts",
Perrigo,PRGO,Health Care,Pharmaceuticals,"Dublin, Ireland",
Pfizer Inc.,PFE,Health Care,Pharmaceuticals,"New York, New York",1849
Philip Morris International,PM,Consumer Staples,Tobacco,"New York, New York",
Phillips 66,PSX,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",
Pinnacle West Capital,PNW,Utilities,Multi-Utilities,"Phoenix, Arizona",1985
Pioneer Natural Resources,PXD,Energy,Oil & Gas Exploration & Production,"Irving, Texas",
PNC Financial Services,PNC,Financials,Regional Banks,"Pittsburgh, Pennsylvania",
Polo Ralph Lauren Corp.,RL,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",
PPG Industries,PPG,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1883
PPL Corp.,PPL,Utilities,Electric Utilities,"Allentown, Pennsylvania",
Principal Financial Group,PFG,Financials,Life & Health Insurance,"Des Moines, Iowa",
Procter & Gamble,PG,Consumer Staples,Personal Products,"Cincinnati, Ohio",1837
Progressive Corp.,PGR,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",
Prologis,PLD,Real Estate,Industrial REITs,"San Francisco, California",
Prudential Financial,PRU,Financials,Life & Health Insurance,"Newark, New Jersey",
Public Serv. Enterprise Inc.,PEG,Utilities,Electric Utilities,"Newark, New Jersey",
Public Storage,PSA,Real Estate,Specialized REITs,"Glendale, California",
Pulte Homes Inc.,PHM,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",
PVH Corp.,PVH,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",
Qorvo,QRVO,Information Technology,Semiconductors,"Greensboro, North Carolina",
Quanta Services Inc.,PWR,Industrials,Construction & Engineering,"Houston, Texas",
QUALCOMM Inc.,QCOM,Information Technology,Semiconductors,"San Diego, California",1985
Quest Diagnostics,DGX,Health Care,Health Care Services,"Madison, New Jersey",
Raymond James Financial Inc.,RJF,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",
Raytheon Co.,RTN,Industrials,Aerospace & Defense,"Waltham, Massachusetts",1922
Realty Income Corporation,O,Real Estate,Retail REITs,"San Diego, California",
Red Hat Inc.,RHT,Information Technology,Systems Software,"Raleigh, North Carolina",
Regency Centers Corporation,REG,Real Estate,Retail REITs,"Jacksonville, Florida",
Regeneron,REGN,Health Care,Biotechnology,"Tarrytown, New York",
Regions Financial Corp.,RF,Financials,Regional Banks,"Birmingham, Alabama",
Republic Services Inc,RSG,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",
ResMed,RMD,Health Care,Health Care Equipment,"San Diego, California",
Robert Half International,RHI,Industrials,Human Resource & Employment Services,"Menlo Park, California",
Rockwell Automation Inc.,ROK,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",
Rollins Inc.,ROL,Industrials,Environmental & Facilities Services,"Atlanta, Georgia",
Roper Technologies,ROP,Industrials,Industrial Conglomerates,"Sarasota, Florida",
Ross Stores,ROST,Consumer Discretionary,Apparel Retail,"Pleasanton, California",
Royal Caribbean Cruises Ltd,RCL,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",
Salesforce.com,CRM,Information Technology,Internet Software & Services,"San Francisco, California",
SBA Communications,SBAC,Real Estate,Specialized REITs,"Boca Raton, Florida",
Schlumberger Ltd.,SLB,Energy,Oil & Gas Equipment & Services,"Curaçao, Kingdom of the Netherlands",1926
Seagate Technology,STX,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",
Sealed Air,SEE,Materials,Paper Packaging,"Elmwood Park, New Jersey",
Sempra Energy,SRE,Utilities,Multi-Utilities,"San Diego, California",
Sherwin-Williams,SHW,Materials,Specialty Chemicals,"Cleveland, Ohio",1866
Simon Property Group Inc,SPG,Real Estate,Retail REITs,"Indianapolis, Indiana",
Skyworks Solutions,SWKS,Information Technology,Semiconductors,"Woburn, Massachusetts",
SL Green Realty,SLG,Real Estate,Office REITs,"New York, New York",
Snap-on,SNA,Industrials,Industrial Machinery,"Kenosha, Wisconsin",
Southern Co.,SO,Utilities,Electric Utilities,"Atlanta, Georgia",
Southwest Airlines,LUV,Industrials,Airlines,"Dallas, Texas",
"S&P Global, Inc.",SPGI,Financials,Financial Exchanges & Data,"New York, New York",
Stanley Black & Decker,SWK,Industrials,Industrial Machinery,"New Britain, Connecticut",
Starbucks Corp.,SBUX,Consumer Discretionary,Restaurants,"Seattle, Washington",1971
State Street Corp.,STT,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",
Stryker Corp.,SYK,Health Care,Health Care Equipment,"Kalamazoo, Michigan",
SunTrust Banks,STI,Financials,Regional Banks,"Atlanta, Georgia",
SVB Financial,SIVB,Financials,Regional Banks,"Santa Clara, California",
Symantec Corp.,SYMC,Information Technology,Application Software,"Mountain View, California",
Synchrony Financial,SYF,Financials,Consumer Finance,"Stamford, Connecticut",
Synopsys Inc.,SNPS,Information Technology,Application Software,"Mountain View, California",
Sysco Corp.,SYY,Consumer Staples,Food Distributors,"Houston, Texas",
T. Rowe Price Group,TROW,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",1937
Take-Two Interactive,TTWO,Communication Services,Interactive Home Entertainment,"New York, New York",
"Tapestry, Inc.",TPR,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2017
Target Corp.,TGT,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",
TE Connectivity Ltd.,TEL,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",
TechnipFMC,FTI,Energy,Oil & Gas Equipment & Services,"London, United Kingdom",
Teleflex Inc,TFX,Health Care,Health Care Equipment,"Wayne, Pennsylvania",1943
Texas Instruments,TXN,Information Technology,Semiconductors,"Dallas, Texas",1930
Textron Inc.,TXT,Industrials,Aerospace & Defense,"Providence, Rhode Island",
Thermo Fisher Scientific,TMO,Health Care,Health Care Equipment,"Waltham, Massachusetts",2006
Tiffany & Co.,TIF,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",
"Twitter, Inc.",TWTR,Communication Services,Interactive Media & Services,"San Francisco, California",
TJX Companies Inc.,TJX,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",
Torchmark Corp.,TMK,Financials,Life & Health Insurance,"McKinney, Texas",
Total System Services,TSS,Information Technology,Internet Software & Services,"Columbus, Georgia",
Tractor Supply Company,TSCO,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",
TransDigm Group,TDG,Industrials,Aerospace & Defense,"Cleveland, Ohio",
The Travelers Companies Inc.,TRV,Financials,Property & Casualty Insurance,"New York, New York",
TripAdvisor,TRIP,Communication Services,Interactive Media & Services,"Newton, Massachusetts",
Twenty-First Century Fox Class A,FOXA,Communication Services,Movies & Entertainment,"New York, New York",
Twenty-First Century Fox Class B,FOX,Communication Services,Movies & Entertainment,"New York, New York",
Tyson Foods,TSN,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",
UDR Inc,UDR,Real Estate,Residential REITs,"Highlands Ranch, Colorado",
Ulta Beauty,ULTA,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",
U.S. Bancorp,USB,Financials,Diversified Banks,"Minneapolis, Minnesota",1968
Under Armour Class A,UAA,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",
Under Armour Class C,UA,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",
Union Pacific,UNP,Industrials,Railroads,"Omaha, Nebraska",
United Continental Holdings,UAL,Industrials,Airlines,"Chicago, Illinois",
United Health Group Inc.,UNH,Health Care,Managed Health Care,"Minnetonka, Minnesota",
United Parcel Service,UPS,Industrials,Air Freight & Logistics,"Atlanta, Georgia",
"United Rentals, Inc.",URI,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",
United Technologies,UTX,Industrials,Aerospace & Defense,"Hartford, Connecticut",
"Universal Health Services, Inc.",UHS,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",
Unum Group,UNM,Financials,Life & Health Insurance,"Chattanooga, Tennessee",
V.F. Corp.,VFC,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Greensboro, North Carolina",
Valero Energy,VLO,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",1980
Varian Medical Systems,VAR,Health Care,Health Care Equipment,"Palo Alto, California",
Ventas Inc,VTR,Real Estate,Health Care REITs,"Chicago, Illinois",
Verisign Inc.,VRSN,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",
Verisk Analytics,VRSK,Industrials,Research & Consulting Services,"Jersey City, New Jersey",
Verizon Communications,VZ,Communication Services,Integrated Telecommunication Services,"New York, New York",
Vertex Pharmaceuticals Inc,VRTX,Health Care,Biotechnology,"Cambridge, Massachusetts",
Viacom Inc.,VIAB,Communication Services,Movies & Entertainment,"New York, New York",
Visa Inc.,V,Financials,Credit Card Services,"San Francisco, California",
Vornado Realty Trust,VNO,Real Estate,Office REITs,"New York, New York",
Vulcan Materials,VMC,Materials,Construction Materials,"Birmingham, Alabama",
Wabtec Corporation,WAB,Industrials,Construction Machinery & Heavy Trucks,"Wilmerding, Pennsylvania",
Walmart,WMT,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",
Walgreens Boots Alliance,WBA,Consumer Staples,Drug Retail,"Deerfield, Illinois",
The Walt Disney Company,DIS,Communication Services,Movies & Entertainment,"Burbank, California",
Waste Management Inc.,WM,Industrials,Environmental & Facilities Services,"Houston, Texas",1968
Waters Corporation,WAT,Health Care,Health Care Distributors,"Milford, Massachusetts",1958
Wec Energy Group Inc,WEC,Utilities,Electric Utilities,"Milwaukee, Wisconsin",
WellCare,WCG,Health Care,Managed Health Care,"Tampa, Florida",
Wells Fargo,WFC,Financials,Diversified Banks,"San Francisco, California",
Welltower Inc.,WELL,Real Estate,Health Care REITs,"Toledo, Ohio",
Western Digital,WDC,Information Technology,"Technology Hardware, Storage & Peripherals","Irvine, California",
Western Union Co,WU,Information Technology,Internet Software & Services,"Englewood, Colorado",1851
WestRock,WRK,Materials,Paper Packaging,"Richmond, Virginia",
Weyerhaeuser,WY,Materials,Lumber & Wood Production,"Federal Way, Washington",
Whirlpool Corp.,WHR,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",1911
Williams Cos.,WMB,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",
Willis Towers Watson,WLTW,Financials,Insurance Brokers,"London, United Kingdom",
Wynn Resorts Ltd,WYNN,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",
Xcel Energy Inc,XEL,Utilities,Multi-Utilities,"Minneapolis, Minnesota",1909
Xerox,XRX,Information Technology,"Technology Hardware, Storage & Peripherals","Norwalk, Connecticut",1906
Xilinx,XLNX,Information Technology,Semiconductors,"San Jose, California",
Xylem Inc.,XYL,Industrials,Industrial Machinery,"White Plains, New York",
Yum! Brands Inc,YUM,Consumer Discretionary,Restaurants,"Louisville, Kentucky",
Zimmer Biomet Holdings,ZBH,Health Care,Health Care Equipment,"Warsaw, Indiana",
Zions Bancorp,ZION,Financials,Regional Banks,"Salt Lake City, Utah",
Zoetis,ZTS,Health Care,Pharmaceuticals,"Florham Park, New Jersey",
